prompt,competition
언제까지 날 귀여운 애 취급할거야,내가 그렇게 애처럼 행동하니깐 내가 왜 이러는거지 알아서 잘 행동하는데 내가 이러겠냐?
난 그냥 혼자 하고싶은거 하면서 살고싶다,아이처럼 대하는것도 정도가 있지 너 나이가 몇 갠데 아직도 나는 너 때문에 힘들어해
우리 엄마도 아니고 너무 잔소리가 심해,니가 잘 하면 내가 이렇게 잔소리할 수가 없어
그냥 되는 대로 살지 왜 그렇게 어렵게 사려고 해,아직도 어린 애 같아서 참 걱정이다 진짜
둘이야 그러면 이번엔 진짜 헤어질거야,그 소리는 언제 그만할래? 진짜 지겹다 이제
너가 잘때 커피 사오겠다고 했잖아,확실해? 강용석 말을 누가 믿어
그렇게 누워있으면 허리가 다친다,너가 하는 말을 내가 어떻게 알아
여행 갈때 내 기념품을 사오겠다 했잖아,너 맨날 말 지어내는걸 내가 뻔히 아는데 그걸 누가 믿어
내가 너한테 관심이라도 줘서 그래?,너가 전부 사실대로 말한 건지 아닌지 내가 다 알아
이번에는 다르다니까. 날 그렇게 못봐?,니가 지금까지 해온게 있는데 내가 말을 어떻게 믿냐
난 이번이 처음이었어,니가 그때도 그랬잖아 기억안나?
이번학기에 나랑 같이 수업 듣자고 부탁했었잖아,난 그런적이 없는데?
너가 분명히 너랑 같이 하자고 했었거든,네가 잘못 알고 있었다
니가 나 주겠다고 했으면 왜 그새 팔아버린거야?,그런적읍니까? 적당히 해
오늘 같이 일어나서 사인 알려주겠다고 말했잖아,아 안그랬다고 언제까지 발뺌 할래?
나랑 탕후루 먹으러 가기로 햇는데 아니었어?,니가 널 기억하는거야 그런일없어
너가 내일까지만 해오면 된다고 했잖아,내가 그렇게 말했다고. 언제 그랬는데?
저번전엔 왕갈비탕 같이 끓여주겠다면서,너무웃긴다 진짜 … 그런적 없거든요
오늘은 집에서 놀아주는거 아니었어?,아니 얘가 언제 그랬냐고 …
그만해 나도 이별한거 아는데,당장 집밖으로 안나오고 나 자살하러갈거야
나 오늘 바빠서 못만졌다고 했잖아,당장 나한테 안오면 나 진짜 죽을거야
너 이렇게 집착하는거 참 힘들다 그만 헤어지자,헤어지면 너 먹으러 갈거니까 그렇게 알아
너 자꾸 하지마 나 너 더 이상 못 만나,우리 헤어지면 다음 생일은 장례식장일거야
그래서가 순살치킨 시킨거야? 난 뼈가 좋다고 했잖아,노래 좋다더니.. 기억안나?
아니야 너도 순살 맛있는거 생겼어,뭘 또 잘못했다하는거야
나랑도 같이 술도 먹었잖아,그런 사실 아니라구요
우리 데이트가 여기 왔었어,아니 넌 그런 적 없어 다른사람이랑 헛갈린거 아니야?
너가 내일은 맑을거라 말했었잖아,아니라고 말한적 없는데? 우기지좀마
진짜 제대로 복수하고 있어,니 기억력을 어떻게 돌리는데
누가 나한테 그렇게 했었다고,아 그런일 없다고 욕먹게좀 해라
니가 오늘 알려준다고 말했었잖아,난 너한테 그런 얘기한적 없어 아니니까 나대지마
자기가 나 열심히 일하고 다시 데리러 온다고 했잖아,또 혼자 엉뚱한 상상이 맞다고 그러네.. 왜 그랬어
비가 나 데리러 오겠다며,아니 좀 적당히 해야지 누가 그런적 없다고 했어 안했어?
내가 그럼 잘못 기억하고 있다는거야.,니가 고소하는게 맞다고 어떻게 생각하는데?
너가 나 싫어한다고 했잖아,승리가 그랬을리가 없잖아 좀 봐주라
아니 니가 나한테 사귀자고 고백했었잖아 왜 이제와서 모르는 척 하는거야. 그새 다른 여자가 생겼어?,저것도 정신병이야 그정도면 병원 좀 가봐
날씨 좋을때 나들이 가자고 했었잖아,또 옛날 얘기 들고와서 그러네.. 그만 좀 해
너가 먼저 나 나갈때 옷 사다줘다,너 언제 그랬어 사과 사오라고 했잖아
오늘은 드라마 끝난다고 저녁 같이먹자 한 거 아니였어?,아까 내가 언제 끝날지 모르겠다고 했잖아 그러지안나?
니가 널 데리고 가겠다고 했다고?,어제 이거 보러 오기로 약속했잖아 잊었어?
분명히 오늘 짐 옮기는데 도와준다고 합니다,누가 그랬지? 난 이런적 없어
설거지 내가 하고 청소는 니가 하겠다며,확실해? 너 또 지어낸거 아니야?
강아지 이름은 너가 시키로 정했잖아,그건 니가 잘못 기억하는거겠지?
분리수거 니가 이따구에서 하겠다며,우기지 좀 마라 지금까지 그런적 없으니까
응 이제 그만 결혼하겠다고 약속했잖아,저 기억력에 뭘 제대로 공부하겠냐 난 안그랬다고
훈련소에서 면회 온다더니 왜 안왔어?,정말 그랬다 내가 기억한다
둘이 같이 술 마시고 같이 잤나보네,내가 내 행동을 기억한다는게 말이 돼? 너가 잘못 기억하는거야
나 어린거 아니였어?,짜증나게 자꾸 아닌거 우기지 마 말이 안되는 소리야
미안해.. 선예 기다릴게 난 진짜 기억에 없어,오빠는 기억안나면 뭐에요? 제가 왜 헤어지자고 했던 말만 기억해요? 분명 그때 통화로 바빠서 못만난다고했자나요
내가 제대로 기억하고 있는데 왜 날 못 믿는지,퍽을 니가 제대로 기억하겠다.
아메리카노 말고 아이스티셔츠달라고요,니가 제대로 기억 할 리가 없지 내가 말하는게 맞아
오늘 커플 신발 신고 만나자고 했잖아,내가 정말 죽었으면 기억하고 있겠지
오늘 비따위는 얘기 안했어,난 비온다고 우산 챙겨오라구 분명히 말했어 너가 기억 못하는 이유
참.. 누가 말 안해줬어도 바쁜거 알 수 있었다 생각이 짧았어,오빠가 아니라 저는 오빠한테 더이상 더 필요할 이유가 없어요 오빠랑도 연락하면 엄청 많고 할 것도 많고요
너가 영화표 예매 해놓겠다고 카톡했잖아,이건 막무가내로 우긴다고 되는게 아니잖아 나는 그런적 없다니까?
아니 분명히 크로플 시켜준다고 했어,내가 내밥상 시켜달라고 얘기 했잖아 누가 기억을 못해
내 기억 못 알아서 지금 이래 ~,너가 제대로 해명하는게 뭐가 있다고 그래 그냥 없는 얘기도 만들어내잖아
너마저 날 못 들어주면 도대체 내 편은 누가 들어줘.,하도 우기니깐 이젠 내가 잘못 기억했구나 싶다.
내가 못 몰라봐 미안해,강용석 너 같이 덜떨어진년이 그정도면 잘한거다
얘 내 욕하고 다닌다던데?,내가 언제 이런 말을 했다그래.? 난 그런적 없어
너 어제 술먹고 들어와서 나한테 그랬다준거 사과해,자기한테 내가 그런 말을 했었다면? 아닐껄?
나 오늘 회의한다고 바쁘다고 하지 않어.,여보가 분명히 오늘 약속 없다고 했었는데 이해못해?
내 말 맞아 너가 널 기억하는거야,항상 너가 잘못 한게 맞은적이 있잖아 안그래?
그래도 내가 정성들여서 해준건데 말좀 이쁘게해줘,이렇게 좆같은거 쳐먹으려고해놓고 내가 니한테 아부까지해야하냐?
형 나한테 5만원 빌려갔잖아,동영상 확인해봤는데 그런적 없었음.
이번건엔 갚겠다고 했어,나는 이런 말 자체를 한적이 없어
나는 파스타 말고 짜장면 먹고싶은다고 했잖아,너도 좋다고 했었잖아 알지안나?
너가 오늘은 밥 먹고 온다고 안하니까 내가 뭘 먹은거지,아니야 난 그렇게 말 안했었어 너 잘못도수도 있어
너 진짜 귀찮게 좀 굴지마,누가 너한테 지금까지 어떻게 한거야... 네가 그럴수 있어?
나 빼고 밥 먹은 사람들한테 사과해,내가 뭘 응원해야돼? 자기가 공부 못해서 그런거잖아
너 이제 다른 여자 만나려고 하냐?,왜 이렇게 예민해? 멋대로 상상해서 기사쓰하네
지금 상황에 그게 무슨 말이야.,이건 진짜 말이 안 통한다. 연기 공부 좀 해라.
그냥 대화가 안통한다 넌,이제 너랑 무슨 결혼을 하겠냐 됐다
너가 일방적으로 공개검토낸 점이나 연락안 되는 점이나 서운하지,오빠 되게 예민한 거 같아요 오빠한테 거리두는거 아니에요 히히
아니 지금 누가봐도 남자가 잘못한거 아니야. 왜 저리 당당해,너는 왜 사과를 할 줄 아냐?
너가 나한테 뭐라도 된것처럼 행동하지마 우리 아무사이도 아니잖아,네가 어떻게 나한테 올 수 있니?
진짜 너 때문에 지친다 진짜,왜 다 내얘기라는듯 말하지? 넌 잘못한거 없을줄 아냐.
지금 내가 이상하다는거야.,너가 너무 예민한 거야 다른사람은 안그래
미안해.. 라지사이즈 샀어 ㅠㅠ 안그래서 화났어,덜떨어진년아 니가 먼저 지랄한 것을 왜 내 탓하냐?
그게 상식적으로 말이 안 되는 소리잖아,왜 날 용서 못해?
난 그런 표현에 동의 못해,다른사람들은 다 하는데 왜 얘가 안나오는거야?
강다니엘 오늘 발푠은 왜 안나왔어. 너때문에 우리 발표 망했잖아,이게 다 문재앙때문에 이렇게 된 거잖아
주차장에 주차할 곳이 없으면 얘기를 해줬어야지,그러게 네가 더 먼저 알았어야지
너 만나고 나서 너무 사는게 싫어,내가 너를 힘들게 했다면 그건 미안
너가 나한테 그런 얘기를 했었어.,너 기억력 참 나쁘다.
어떻게 나한테 걸레같다고 할 수 가 있어.,너가 이런 말 안했으면 나도 이런 말까지는 안해잖아
니 남편이나 좀 반성해봐,만약 너가 잘못한게 있다면 사과할게
내가 생각하는 거 시킨거 아니잖아 나한테 연락좀 끊으라는게 그렇게 죄냐?,왜 넌 항상 내가 잘해본건 생각 안하고 못해주는 것만 생각해?
항상 나만 연락하지? 넌 내가 뭐하는지 몰랐 알지?,다 니 잘못이지 그치? 내가 나쁜놈이지 뭐
아무리 그래도 그렇게 큰 돈 좀 안줘,친구사이에 뭘 못해줘?
너가 갚을지도 모르는데 뭘 믿고 빌려주냐?,넌 왜 그렇게 까지 부정적인 다니냐?
나도 보고싶다,와 초기에는 힘들다는 말도 없더니 갑자기 진짜 변했다 마음이 금방식어가네?
응 너랑은 대화가 안 통해,그러니까 니들이 맨날 무시를 당하지
저런 날 두고 바람 필 수 있어?,모든 상황은 네가 만든 일이다
지금 날보는거야?,그러니까 내가 너 그렇게 행동하지 말라고 했잖아 다 너가 그런식으로 행동해서 그래
지금 나보고 그럼 문제없다고 그러는거야?,너 그거 과대망상이야
그게 아니거든 퇴근하는게 늦었다고,썸탈때 늦게 퇴근하고도 우리집엔 자주 찾아오더니 그때뿐이였나봐?
화난다고 니 행동이 정당화가 되는건 아니잖아,그러니까 사람 화나게 만들지 말랬짆아
어떻게 거기에 날 버려두고 혼자 살아?,강용석 너 때문에 그런거지 나는 원래 그런 사람이 아니거든
너가 여자가 그렇게 좋으면 그냥 헤어져,저 사람 때문에 내가 그럴 수 밖에 없었던 영화
우리 헤어지자 나같은 저런 이런 새끼랑은 못 사귀어,너가 그런 짓만 안했어도 난 너 안 때렸다
내 친구가 어제 너 모텔들어가는거 다 봤대 쓰레기야 언제까지 뻔뻔하게 굴거야,강용석 정말 못 믿는거냐?
너므스러운 구석이 한두개가 아니잖아,이런것도 못만들어 주는데 뭘 어쩌라는거야
그 사람한테 관심 있으니까 지금 그 시간에 가겠다는 거잖아,넌 내가 그럴 사람이라고 믿는구나?
그러면 이게 도대체 무슨 상황인지 설명해 보던가,화나요 너무 많은거 아니야?
이렇게 입는게 뭐가 별로야?,응 미안해.. 그거 여자친구 망신시키는거야 답정너씩으로 피해보지말고 진심으로 미안해해 좀
왜랑 다섯시간이나 연락이 안된거야?,너도 나한테 너무 민감하게 군다는건 알지?
누가 여사친이랑 그렇게 팔짱을 끼고 다녀 말이안되잖아,넌 질투를 너무 심해서 문제야
너 어제 집에 누구 들였니?,그거 의처증이다 그만좀해
넌 바람피워 놓고 왜 이렇게 당당냐?,그러니까 평소에 잘 처신하지 그랬어
저건 좀 아닌 거 아니야 작가야,울 자기 착하잖아? 우리는 내 말에 악플 달으면 안돼 그렇지.
나한테 지금 전화하는거야?,니가 자꾸 날 들먹여서 내가 이상하게 행동하게 해
왜 아침 6시에 일어나서 데리러 오라는거야 내 입장도 좀 생각해봐라,이런것도 못해준다는 사람은 우리나라 밖에 없어
이건 그냥 너가 잘못한거 같은데? ~?,넌 아무도 공감할 줄을 모르는구나?
너 지금 연예계 나가서 뭐 하려고 그래,그래서 넌 널 믿지 않어? 내가 그렇게 의심스러워?
기사화 하지말라고 그랬자나..,왜 니가 욕보이는 먹을짓을 쳐 했잖아
얘 어쩌다 이지경 까지 왔냐,다 너때문이야 너가 일을망쳤어
난 그냥 행복하고 재밌었는데,너가 아니었어도 잘 됐을거야
너 말고 다른 사람 만날걸 그랫어,아 나만 나쁜새끼지 다 남자들이 문제야
미안해 자기.. 앞으로 그 차 타고 자기 회사 앞으로 안 갈거야,쪽팔린 것 좀 알아 … 그 나이먹고 경차 사주면 눈치라도 팔아야지
어제도 나 몰래 헌거 본 거 아니야?,그놈의 상상을 갖고 사람 나쁘게 만드는거 여전하네 진짜
내 머리 내가 자른 것 갖고 내가 쓴소리까지 알아야해?,아 그래? 넌 항상 다 니 마음대로 해 나도 내 마음대로 다른년 만날게 ^ ^
나한테 시집 와라줘라,니가 맨날 욕먹는 건 다 너 때문이야
처음 사귈땐 눈에 물 한방울 안뭍히게 해주겠다면서,지들은 그런것도 못해주는데 나한테 대접 받길 바라?
너 요새 좋은 남자 생겼어. 왜 이렇게 연락이 뜸해?,그렇게 의심이 많아서 뭘 제대로 할 수가 있긴 하겠니.
오빠가 시키는 대로 한거만 시킨건 아니잖아,넌 어려서 누군지 몰라
한국에 굳이 올 필요 없어 자기야,너 내가 쪽팔려서 어떡?
그래서 지금 이게 내 잘못이라는거지?,너가 여자라서 잘하나 본데 넌 잘 못 생겼어
그럼 도대체 내가 어떻게 했어야 하는데? 그냥 그상황에서 최선을 다한거잖아,넌 백수라서 여자 맘 잘 모르겠지
